191.320, 133.240, 0.000,  0.000 False
191.320, 133.240, 0.001,  0.300 False
191.320, 133.240, 0.001,  0.400 False
191.321, 133.240, 0.020,  0.500 False
191.323, 133.240, 0.023,  0.600 False
191.328, 133.240, 0.119,  0.700 False
191.354, 133.240, 0.358,  0.800 False
191.412, 133.239, 0.625,  0.900 False
191.490, 133.239, 0.876,  1.000 False
191.588, 133.238, 1.048,  1.100 False
191.705, 133.238, 1.255,  1.200 False
191.840, 133.237, 1.416,  1.300 False
191.991, 133.236, 1.568,  1.400 False
192.155, 133.235, 1.704,  1.500 False
192.332, 133.234, 1.826,  1.600 False
192.521, 133.232, 1.935,  1.700 False
192.720, 133.231, 2.036,  1.800 False
192.929, 133.229, 2.133,  1.900 False
193.148, 133.227, 2.230,  2.000 False
193.376, 133.225, 2.323,  2.100 False
193.614, 133.222, 2.417,  2.200 False
193.861, 133.220, 2.508,  2.300 False
194.117, 133.217, 2.602,  2.400 False
194.383, 133.214, 2.697,  2.500 False
194.658, 133.210, 2.797,  2.600 False
194.944, 133.206, 2.900,  2.700 False
195.240, 133.202, 3.006,  2.800 False
195.547, 133.198, 3.116,  2.900 False
195.866, 133.192, 3.230,  3.000 False
196.195, 133.187, 3.345,  3.100 False
196.537, 133.182, 3.464,  3.200 False
196.890, 133.177, 3.579,  3.300 False
197.255, 133.172, 3.696,  3.400 False
197.631, 133.166, 3.811,  3.500 False
198.019, 133.161, 3.927,  3.600 False
198.418, 133.155, 4.041,  3.700 False
198.829, 133.148, 4.155,  3.800 False
199.251, 133.142, 4.269,  3.900 False
199.684, 133.135, 4.384,  4.000 False
200.130, 133.128, 4.500,  4.100 False
200.586, 133.118, 4.616,  4.200 False
201.055, 133.108, 4.738,  4.300 False
201.535, 133.095, 4.852,  4.400 False
202.026, 133.083, 4.945,  4.500 False
202.524, 133.072, 5.008,  4.600 False
203.026, 133.061, 5.045,  4.700 False
203.531, 133.051, 5.049,  4.800 False
204.031, 133.041, 4.996,  4.900 False
204.531, 133.031, 5.018,  5.000 False
205.034, 133.022, 5.026,  5.100 False
205.534, 133.013, 4.995,  5.200 False
206.034, 133.004, 5.008,  5.300 False
206.535, 132.996, 5.015,  5.400 False
207.036, 132.987, 4.988,  5.500 False
207.535, 132.980, 5.001,  5.600 False
208.036, 132.972, 5.010,  5.700 False
208.536, 132.965, 4.987,  5.800 False
209.035, 132.959, 5.001,  5.900 False
209.536, 132.953, 5.010,  6.000 False
210.037, 132.946, 4.994,  6.100 False
210.537, 132.941, 5.005,  6.200 False
211.038, 132.935, 5.011,  6.300 False
211.537, 132.930, 4.986,  6.400 False
